fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
1.730202,NO,4.124189,0.036667,0.005164
3.996597,NO,4.094955,0.035714,0.009759
3.999905,NO,4.049504,0.031429,0.008997
1.723401,NO,4.100155,0.034,0.015166
3.997429,NO,4.061839,0.033333,0.011547
3.897671,NO,4.065642,0.036667,0.008165
1.723885,NO,4.0176,0.0325,0.009574
0.587824,NO,3.97686,0.05,0.014142
2.840249,NO,4.124394,0.045,0.017321
4.075216,NO,4.052414,0.038,0.014832
2.862834,NO,4.088756,0.038571,0.01069
0.578299,NO,4.073782,0.035,0.021213
3.989896,NO,4.120301,0.0425,0.012583
1.976064,NO,4.00696,0.036,0.011402
2.652881,NO,4.210953,0.035,0.007071
2.975014,NO,4.110884,0.033333,0.020817
1.777512,NO,4.309001,0.027143,0.007559
1.670307,NO,4.449186,0.013333,0.005774
0.618211,NO,4.12507,0.035,0.01291
1.768496,NO,4.219384,0.03,0.014142
3.896724,NO,4.096826,0.025,0.01
3.658109,NO,4.004719,0.02,0.006325
3.908347,NO,4.107495,0.02,0.01
4.000626,NO,4.068498,0.03,0.014142
2.945829,NO,4.085456,0.0225,0.009574
0.640992,NO,4.094602,0.04,0
3.761147,YES,4.108821,0.035,0.007071
3.99668,NO,4.153701,0.035,0.021213
3.938701,NO,4.08543,0,0
3.934677,YES,4.368081,0.035,0.021213
3.078747,NO,3.996095,0.031111,0.013642
4.06657,NO,4.04844,0.025556,0.010138
3.822042,NO,4.022886,0.038333,0.01169
2.873584,NO,4.09274,0.032,0.004472
1.722271,NO,4.096175,0.042,0.013038
2.725637,NO,3.876629,0.04,0.015492
3.974327,YES,4.094633,0.038333,0.007528
4.000326,NO,4.082626,0.031429,0.01069
0.565493,NO,4.052601,0.024167,0.00793
1.663885,NO,4.131768,0.03,0.01
3.894993,NO,3.987332,0.037143,0.013801
3.973638,NO,3.994924,0.041667,0.007528
0.592278,NO,3.976214,0.035,0.008367
0.704963,YES,4.009911,0.04,0.006325
4.258953,YES,4.095388,0.0375,0.017078
2.858683,NO,4.234902,0.035,0.008367
4.002673,NO,4.190296,0.035714,0.015119
3.966696,NO,4.226447,0.041667,0.01472
2.962985,NO,4.328702,0.036667,0.013663
4.025976,NO,4.226676,0.035,0.010488
4.893279,NO,4.236253,0.042857,0.013801
4.167054,NO,4.227952,0.04,0.02
0.735705,NO,4.437961,0.033333,0.010328
2.867692,NO,4.174316,0.043333,0.012111
