spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,spectral_mfcc_Std_1,spectral_mfcc_Std_2,spectral_mfcc_Std_3
0.086104,-0.021515,0.770673,0.556085,NO
-0.40411,-0.026606,0.268881,0.138238,YES
-0.483715,0.139152,0.247422,0.19677,YES
-0.055309,0.0264,0.407016,0.221909,YES
0.109116,-0.242507,0.169761,0.213729,YES
0.041524,-0.230754,0.236674,0.356777,YES
-0.005203,-0.126732,0.412882,0.203045,YES
-0.082727,-0.115622,0.162608,0.159445,YES
-0.100455,-0.130842,0.2954,0.138899,YES
-0.097285,-0.017656,0.228644,0.138953,YES
-0.124638,-0.051843,0.154279,0.137218,YES
-0.135095,0.022912,0.448981,0.158166,YES
-0.210003,0.022213,0.61057,0.160726,YES
-0.410032,-0.462218,0.382945,0.12466,YES
-0.127236,-0.153662,0.623835,0.153952,YES
-0.051959,0.191797,0.406349,0.190874,YES
-0.126641,0.216911,0.283363,0.099489,YES
-0.197101,0.152804,0.30539,0.159904,YES
-0.263007,0.106284,0.230935,0.13124,YES
-0.180239,0.132366,0.277591,0.16846,YES
-0.068362,0.159806,0.224427,0.168521,YES
-0.098314,0.164509,0.194231,0.213688,YES
-0.089206,0.292957,0.486227,0.177513,YES
-0.109585,0.231379,0.420665,0.163681,YES
-0.110681,0.276753,0.498378,0.212505,YES
-0.103198,0.15657,0.339331,0.185396,YES
0.000444,-0.038295,0.635638,0.319062,YES
-0.240166,-0.247615,0.245361,0.264384,YES
-0.072538,-0.040525,0.433136,0.362394,YES
-0.257175,-0.127326,0.240573,0.223801,YES
-0.439406,-0.239727,0.245892,0.189829,YES
-0.383595,-0.240307,0.358901,0.214347,YES
-0.327392,-0.25752,0.197845,0.224935,YES
-0.210478,-0.085214,0.361423,0.287987,YES
-0.262622,-0.073888,0.258605,0.294379,YES
-0.145566,-0.065685,0.309222,0.258503,YES
0.011896,0.078073,0.341328,0.278282,YES
-0.145314,-0.067374,0.294254,0.212813,YES
0.08117,0.25496,0.376954,0.287784,YES
-0.415261,-0.158728,0.136496,0.258388,YES
-0.419363,-0.336735,0.316587,0.218347,YES
-0.363932,-0.236924,0.373727,0.2534,YES
0.000444,-0.038295,0.635638,0.319062,YES
-0.240166,-0.247615,0.245361,0.264384,YES
-0.072538,-0.040525,0.433136,0.362394,YES
-0.257175,-0.127326,0.240573,0.223801,YES
-0.439406,-0.239727,0.245892,0.189829,YES
-0.383595,-0.240307,0.358901,0.214347,YES
-0.327392,-0.25752,0.197845,0.224935,YES
-0.210478,-0.085214,0.361423,0.287987,YES
-0.262622,-0.073888,0.258605,0.294379,YES
-0.145566,-0.065685,0.309222,0.258503,YES
0.011896,0.078073,0.341328,0.278282,YES
-0.145314,-0.067374,0.294254,0.212813,YES
0.08117,0.25496,0.376954,0.287784,YES
-0.415261,-0.158728,0.136496,0.258388,YES
-0.419363,-0.336735,0.316587,0.218347,YES
-0.363932,-0.236924,0.373727,0.2534,YES
0.669754,-0.153083,0.339304,0.280774,YES
0.315028,0.126883,0.22099,0.2032,YES
0.154231,-0.303155,0.219535,0.16323,YES
-0.205138,-0.378151,0.263361,0.169827,YES
-0.167873,-0.4075,0.202875,0.244684,YES
0.163284,-0.308167,0.205699,0.266521,YES
0.294448,0.044737,0.383331,0.193998,YES
0.464657,-0.129986,0.138898,0.192919,YES
0.126229,-0.091665,0.317855,0.291907,YES
0.393879,0.180227,0.138863,0.231967,YES
0.399224,0.076531,0.193757,0.176395,YES
0.045825,-0.14117,0.214009,0.156765,YES
-0.116734,-0.11023,0.166519,0.150552,YES
-0.232279,-0.242832,0.986946,0.533554,YES
-0.126615,0.001399,1.027071,0.640544,YES
-0.003258,-0.006968,1.211471,0.651869,YES
0.034056,0.061571,0.962598,0.516898,YES
-0.103251,0.033254,1.008644,0.577512,YES
-0.117824,-0.03096,1.15654,0.544112,YES
0.012655,0.177488,0.812052,0.551258,YES
0.264532,0.092494,1.091825,0.645836,YES
0.14679,0.134987,1.003757,0.560783,YES
-0.103713,-0.153795,0.992717,0.566728,YES
-0.26916,-0.244082,1.087857,0.558848,YES
-0.196813,-0.034647,0.947394,0.623381,YES
-0.022285,-0.030256,1.28118,0.625887,YES
0.02413,0.112083,1.044578,0.532705,YES
-0.112095,-0.084733,0.82232,0.483049,YES
-0.062044,-0.027729,0.380489,0.230192,YES
-0.040032,-0.234646,0.256976,0.476379,YES
0.525437,0.1171,0.240854,0.253314,YES
0.481632,0.509445,0.287477,0.323552,YES
0.259139,0.449697,0.231708,0.380786,YES
0.528689,0.145832,0.63457,0.362022,YES
0.523468,0.35015,0.504751,0.287091,YES
0.30366,0.532476,0.366086,0.328747,YES
0.231411,0.343583,0.276117,0.200575,YES
0.455312,0.390117,0.440577,0.316452,YES
0.152505,0.226803,0.312916,0.313148,YES
0.208405,0.196759,0.426908,0.296539,YES
0.022895,-0.015017,0.613544,0.28035,YES
-0.245075,-0.03559,0.57643,0.21149,YES
-0.261009,-0.259825,0.195828,0.172406,YES
-0.675588,-0.223494,0.336835,0.170905,YES
-0.574443,-0.292699,0.233376,0.14691,YES
-0.209522,0.060479,0.229437,0.154175,YES
-0.108638,0.208744,0.261977,0.176423,YES
-0.22976,-0.128163,0.343522,0.155438,YES
-0.243416,-0.208244,0.19997,0.138275,YES
-0.260656,-0.089054,0.187304,0.169402,YES
-0.271467,0.019999,0.138138,0.164886,YES
-0.213605,-0.079452,0.157439,0.131266,YES
0.063139,-0.022159,0.674078,0.250913,YES
0.090529,0.009534,0.947345,0.225544,YES
0.035429,0.054377,0.941266,0.718606,YES
0.017523,0.045407,0.933145,0.576646,YES
0.068652,0.00534,0.610107,0.235499,YES
0.060348,0.017292,0.891698,0.215272,YES
0.071513,0.069786,0.788668,0.690039,YES
0.034632,0.057927,0.933771,0.682328,YES
0.029024,-0.036345,0.506311,0.250251,YES
0.085821,-0.00604,0.974219,0.207573,YES
0.053919,0.050666,0.935704,0.624575,YES
0.017877,0.038616,0.947442,0.596017,YES
0.023928,-0.01359,0.512002,0.288852,YES
0.067166,0.010546,0.960056,0.296382,YES
0.035698,0.052436,0.754686,0.552613,YES
-0.020747,-0.033142,0.43111,0.421269,YES
-0.012716,0.049099,0.443648,0.291292,YES
-0.034964,-0.029938,0.353329,0.25283,YES
-0.231158,-0.157215,0.260476,0.159674,YES
-0.084758,-0.034228,0.299323,0.171599,YES
0.013863,0.107263,0.338375,0.245862,YES
-0.026916,-0.003178,0.343102,0.257648,YES
0.029626,0.078479,0.339854,0.252876,YES
-0.106996,-0.068986,0.234687,0.212395,YES
-0.154018,-0.115481,0.324194,0.174479,YES
-0.084899,-0.061915,0.45106,0.313675,YES
-0.24825,-0.103972,0.255311,0.141088,YES
-0.106666,-0.139325,0.22197,0.214343,YES
-0.130293,-0.125941,0.308772,0.204997,YES
0.087123,0.116415,0.760777,0.339103,YES
-0.023737,0.034023,0.365399,0.234165,YES
-0.027127,0.054241,0.256837,0.196869,YES
0.024905,0.021277,0.19221,0.176367,YES
-0.044785,0.058883,0.326259,0.273102,YES
-0.198629,-0.051035,0.24391,0.203545,YES
-0.296706,-0.242527,0.215352,0.187346,YES
-0.364053,-0.266679,0.209299,0.203874,YES
-0.260896,-0.179591,0.321981,0.190703,YES
-0.123298,0.150633,0.264006,0.288526,YES
-0.131199,0.178477,0.240534,0.205089,YES
-0.06782,-0.082504,0.218085,0.209682,YES
-0.199572,-0.209911,0.275131,0.195657,YES
-0.124565,-0.09069,0.355928,0.205713,YES
-0.255175,-0.071667,0.40656,0.271404,YES
-0.02204,0.059546,0.635765,0.552721,YES
0.060625,0.28576,0.71023,0.536479,YES
0.006191,0.370362,0.604263,0.466597,YES
-0.334889,0.148707,0.521241,0.180116,YES
-0.260519,0.195886,0.480334,0.164418,YES
-0.367325,0.137342,0.505678,0.280516,YES
-0.768858,0.298482,0.466209,0.170732,YES
-0.891792,0.281249,0.419034,0.156787,YES
-0.739732,0.411318,0.532641,0.19979,YES
-0.73948,0.431018,0.518724,0.543298,YES
-0.470077,0.426599,0.437267,0.30446,YES
-0.829326,0.175041,0.556974,0.401428,YES
-0.659486,0.102731,0.538557,0.552666,YES
-0.409694,-0.07629,0.542159,0.352581,YES
-0.460544,-0.137998,0.454542,0.287168,YES
0.127342,-0.098732,2.288817,0.670278,YES
0.248763,-0.185096,0.376305,0.279264,YES
0.20146,-0.215253,0.346303,0.211699,YES
0.058385,-0.244085,0.310278,0.285115,YES
0.273973,0.264834,0.331393,0.340873,YES
0.058135,0.293323,0.339689,0.289638,YES
0.448684,-0.134226,0.448677,0.301724,YES
0.31585,-0.203683,0.504211,0.283498,YES
0.195374,-0.011,0.292719,0.308271,YES
0.177403,-0.183744,0.274516,0.272314,YES
0.119338,-0.19847,0.361041,0.2791,YES
0.318062,0.022555,0.284917,0.246596,YES
0.195234,0.315925,0.877219,0.467824,YES
0.28978,-0.041484,0.347533,0.239364,YES
0.108759,-0.051083,0.273151,0.268445,YES
0.231281,0.301351,0.574052,1.128225,YES
0.394508,0.736601,0.475236,0.507596,YES
0.115282,0.29455,0.383928,0.298,YES
-0.139388,0.205695,0.357352,0.250141,YES
0.317755,0.508796,0.328699,0.473195,YES
0.339611,0.591628,0.363714,0.366197,YES
-0.03816,0.229213,0.335491,0.223869,YES
0.004587,0.194786,0.450041,1.07089,YES
0.256486,0.340507,0.376253,0.112415,YES
0.304288,0.539225,0.276125,0.319756,YES
0.320161,0.831332,0.447815,0.247243,YES
-0.141195,0.508755,0.304091,0.251842,YES
0.01843,0.013845,0.472588,0.567288,YES
0.079858,0.059696,0.518572,0.385126,YES
0.027531,0.076538,0.484395,0.479835,YES
0.102436,0.002778,0.311527,0.351117,YES
-0.015843,-0.109572,0.439268,0.348223,YES
-0.024561,-0.012352,0.303803,0.507487,YES
0.030525,0.048323,0.378886,0.553271,YES
0.022964,0.037573,0.521388,0.377895,YES
0.062614,0.015463,0.470322,0.336933,YES
0.100552,0.03075,0.335861,0.309992,YES
0.24814,0.007685,0.191472,0.327966,YES
0.252723,-0.115599,0.235328,0.273316,YES
-0.204428,0.000687,0.368135,0.46448,YES
-0.783524,-0.531372,0.487911,0.300164,YES
-0.538009,-0.183073,0.513909,0.280714,YES
0.041098,0.290999,0.391289,0.198891,YES
0.00991,0.141089,0.437183,0.3932,YES
-0.758873,-0.534006,0.389653,0.192137,YES
-0.43509,-0.059818,0.29004,0.420245,YES
-0.285482,0.090397,0.413788,0.224209,YES
-0.017416,0.290645,0.350104,0.473438,YES
-0.058908,-0.01233,0.366842,0.397017,YES
0.136142,0.164973,0.475529,0.165148,YES
0.168882,0.280915,0.357633,0.115262,YES
0.16932,0.02771,0.615477,0.368997,YES
0.126327,-0.164442,0.751411,0.290393,YES
0.176852,-0.191305,0.377612,0.235969,YES
0.081463,-0.289735,0.52402,0.525868,YES
-0.054279,-0.147597,0.513019,0.358709,YES
0.022565,-0.33536,0.485343,0.29844,YES
-0.013773,-0.178864,0.647996,0.296816,YES
