fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,5273.38723,4.105761,0.028571,0.00378
YES,7204.299828,4.171813,0.028571,0.013452
NO,5608.884932,4.015614,0.034286,0.011339
NO,5965.540709,4.083407,0.036,0.005477
NO,5936.561928,4.064954,0.036667,0.012111
NO,7441.325834,4.082056,0.033333,0.007071
NO,5316.863408,4.124189,0.036667,0.005164
YES,5541.987322,4.094955,0.035714,0.009759
YES,5927.312628,4.049504,0.031429,0.008997
NO,6157.277671,4.100155,0.034,0.015166
YES,6330.237898,4.061839,0.033333,0.011547
NO,5458.175113,4.065642,0.036667,0.008165
NO,5167.599596,4.0176,0.0325,0.009574
NO,5488.206164,3.97686,0.05,0.014142
NO,5768.03338,4.124394,0.045,0.017321
YES,6366.510863,4.052414,0.038,0.014832
NO,5965.728402,4.088756,0.038571,0.01069
NO,5481.634367,4.073782,0.035,0.021213
YES,5725.500304,4.120301,0.0425,0.012583
NO,6012.354892,4.00696,0.036,0.011402
NO,3817.236565,4.210953,0.035,0.007071
NO,4829.929356,4.110884,0.033333,0.020817
NO,4032.154346,4.309001,0.027143,0.007559
NO,3254.585873,4.449186,0.013333,0.005774
NO,3256.030371,4.12507,0.035,0.01291
NO,3474.995195,4.219384,0.03,0.014142
NO,4374.170385,4.096826,0.025,0.01
NO,5542.489736,4.004719,0.02,0.006325
NO,4150.389836,4.107495,0.02,0.01
YES,4805.499616,4.068498,0.03,0.014142
NO,4378.474468,4.085456,0.0225,0.009574
NO,4426.024429,4.094602,0.04,0
NO,6582.350786,4.108821,0.035,0.007071
YES,4993.313743,4.153701,0.035,0.021213
NO,5907.188302,4.08543,0,0
NO,31793.94574,4.368081,0.035,0.021213
NO,5271.987766,3.996095,0.031111,0.013642
YES,5702.068426,4.04844,0.025556,0.010138
NO,5489.427528,4.022886,0.038333,0.01169
NO,5220.548193,4.09274,0.032,0.004472
NO,5367.002284,4.096175,0.042,0.013038
NO,4733.959191,3.876629,0.04,0.015492
NO,6718.40949,4.094633,0.038333,0.007528
YES,5906.548981,4.082626,0.031429,0.01069
NO,4741.93115,4.052601,0.024167,0.00793
NO,4764.144009,4.131768,0.03,0.01
NO,4938.28874,3.987332,0.037143,0.013801
NO,5857.713938,3.994924,0.041667,0.007528
