@relation fluctuation_centroid_Mean

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean {NO,YES}
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std numeric

@data
5.05842,6205.940564,NO,0.04,0.011547
3.8209,5586.941053,NO,0.026667,0.00866
1.666277,5273.38723,NO,0.028571,0.00378
3.995451,7204.299828,NO,0.028571,0.013452
0.577925,5608.884932,YES,0.034286,0.011339
2.855016,5965.540709,NO,0.036,0.005477
3.06077,5936.561928,YES,0.036667,0.012111
3.11128,7441.325834,NO,0.033333,0.007071
1.730202,5316.863408,NO,0.036667,0.005164
3.996597,5541.987322,NO,0.035714,0.009759
3.999905,5927.312628,YES,0.031429,0.008997
1.723401,6157.277671,NO,0.034,0.015166
3.997429,6330.237898,YES,0.033333,0.011547
3.897671,5458.175113,NO,0.036667,0.008165
1.723885,5167.599596,YES,0.0325,0.009574
0.587824,5488.206164,YES,0.05,0.014142
2.840249,5768.03338,NO,0.045,0.017321
4.075216,6366.510863,YES,0.038,0.014832
2.862834,5965.728402,NO,0.038571,0.01069
0.578299,5481.634367,NO,0.035,0.021213
3.989896,5725.500304,NO,0.0425,0.012583
1.976064,6012.354892,YES,0.036,0.011402
2.652881,3817.236565,NO,0.035,0.007071
2.975014,4829.929356,NO,0.033333,0.020817
1.777512,4032.154346,NO,0.027143,0.007559
1.670307,3254.585873,NO,0.013333,0.005774
0.618211,3256.030371,NO,0.035,0.01291
1.768496,3474.995195,NO,0.03,0.014142
3.896724,4374.170385,NO,0.025,0.01
3.658109,5542.489736,YES,0.02,0.006325
3.908347,4150.389836,NO,0.02,0.01
4.000626,4805.499616,NO,0.03,0.014142
2.945829,4378.474468,NO,0.0225,0.009574
0.640992,4426.024429,NO,0.04,0
3.761147,6582.350786,NO,0.035,0.007071
3.99668,4993.313743,NO,0.035,0.021213
3.938701,5907.188302,NO,0,0
3.934677,31793.94574,NO,0.035,0.021213
3.078747,5271.987766,YES,0.031111,0.013642
4.06657,5702.068426,YES,0.025556,0.010138
3.822042,5489.427528,YES,0.038333,0.01169
2.873584,5220.548193,NO,0.032,0.004472
1.722271,5367.002284,NO,0.042,0.013038
2.725637,4733.959191,YES,0.04,0.015492
3.974327,6718.40949,NO,0.038333,0.007528
4.000326,5906.548981,NO,0.031429,0.01069
0.565493,4741.93115,YES,0.024167,0.00793
1.663885,4764.144009,NO,0.03,0.01
3.894993,4938.28874,YES,0.037143,0.013801
3.973638,5857.713938,YES,0.041667,0.007528
0.592278,5668.890367,YES,0.035,0.008367
0.704963,6700.058691,YES,0.04,0.006325
4.258953,6963.198199,NO,0.0375,0.017078
2.858683,3479.481176,NO,0.035,0.008367
4.002673,5335.0117,NO,0.035714,0.015119
3.966696,5247.848335,NO,0.041667,0.01472
2.962985,3827.597169,NO,0.036667,0.013663
4.025976,5001.213712,NO,0.035,0.010488
4.893279,4020.508548,NO,0.042857,0.013801
4.167054,3325.837709,NO,0.04,0.02
0.735705,1822.007193,NO,0.033333,0.010328
2.867692,5954.904087,NO,0.043333,0.012111
3.999192,4937.009181,NO,0.04,0.021602
0.589352,3650.087435,NO,0.033333,0.017512
3.659374,5274.38874,YES,0.05,0
3.890601,5861.215913,NO,0.05,0
1.729058,6879.599351,YES,0.025,0.021213
2.886662,5954.068579,NO,0.043333,0.011547
3.82669,7268.254985,NO,0.043333,0.011547
1.731076,5210.772208,NO,0.03,0.01
2.7455,5606.321428,NO,0.04,0
1.783659,6090.753173,YES,0.035,0.021213
3.831364,6587.991389,NO,0.07,0
2.873315,7200.690054,NO,0.04,0.017321
0.585639,4371.022287,NO,0.027143,0.00488
0.991199,6650.484009,YES,0.03,0
3.663576,3761.86084,YES,0.04,0
2.988837,3963.520606,NO,0.045,0.005774
2.860113,4783.430691,NO,0.04,0.023664
3.914428,3999.615119,YES,0.035,0.007071
0.601746,4392.677896,YES,0.036,0.011402
2.869464,4400.766285,NO,0.0475,0.005
2.784698,4381.177018,YES,0.026667,0.008165
2.872425,4431.616042,NO,0.043333,0.005774
3.867913,4257.718022,YES,0.04,0.014142
3.998117,4043.683346,NO,0.03,0
2.878088,3688.141486,YES,0.025,0.005774
3.917835,3642.986417,YES,0.022,0.00414
3.702592,5882.277545,NO,0.038,0.008367
2.829347,5737.650184,NO,0.026667,0.01
4.004666,5586.160524,NO,0.03125,0.006409
2.84367,5877.897944,NO,0.031429,0.01069
3.994886,5984.396733,NO,0.034286,0.011339
1.744187,5531.995173,NO,0.035,0.018516
2.794885,5967.616422,NO,0.04,0.02
2.82834,5954.45131,NO,0.041667,0.017224
3.864718,6247.848164,NO,0.03125,0.00991
2.873043,6483.699503,NO,0.035,0.005477
4.220173,6253.490159,YES,0.033333,0.008165
1.677064,5529.587866,NO,0.034286,0.011339
2.726783,6470.561627,NO,0.0225,0.009574
3.91408,5420.192789,NO,0.037143,0.009512
4.162178,7324.803902,NO,0.03,0.02
2.787424,6571.883642,NO,0.035,0.015119
3.998537,6723.688829,NO,0.02875,0.01126
3.967899,6988.671266,NO,0.024286,0.007868
2.759289,5730.551143,NO,0.034,0.011402
2.920295,7581.285349,NO,0.026667,0.010328
1.696392,5205.270938,NO,0.02625,0.00744
3.851349,8521.726976,NO,0.038571,0.015736
2.819653,7749.219259,NO,0.028571,0.01069
2.767731,7335.788298,NO,0.03,0.018708
3.99711,7991.645858,NO,0.028571,0.013452
5.003897,5983.945322,NO,0.0325,0.012583
2.182184,6555.57283,NO,0.031667,0.007528
0.568504,3942.820434,NO,0.036667,0.01
2.81235,4515.32567,NO,0.03,0.006325
3.896622,5021.237941,NO,0.038571,0.014639
1.657594,4605.514564,NO,0.03125,0.012464
2.816717,4963.942626,NO,0.03,0.014142
1.697374,4852.678609,NO,0.041429,0.013452
2.754523,4903.630278,NO,0.04,0.01069
3.890339,5442.492649,NO,0.034444,0.01236
1.65326,4652.104674,NO,0.0375,0.017525
2.785834,4451.905909,NO,0.029,0.008756
1.720535,4722.9733,NO,0.03625,0.017678
1.688024,4832.334835,NO,0.037143,0.00488
3.913241,5379.232171,YES,0.026667,0.008165
1.744448,4863.101378,NO,0.038333,0.01169
0.534522,5552.78339,NO,0.038333,0.01169
1.729294,5981.807312,YES,0.037143,0.012536
2.872201,6233.043118,NO,0.02625,0.010607
1.679775,5792.802222,NO,0.03875,0.01126
2.850482,7403.394831,NO,0.041111,0.011667
1.738555,6014.906016,YES,0.051667,0.017224
1.692221,6052.998055,YES,0.031429,0.006901
1.709652,6202.401745,NO,0.035714,0.012724
