spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,spectral_mfcc_Std_1,spectral_mfcc_Std_2,spectral_mfcc_Std_3
-0.084758,-0.034228,0.299323,NO,0.171949
0.013863,0.107263,0.338375,NO,0.141758
-0.026916,-0.003178,0.343102,NO,0.158339
0.029626,0.078479,0.339854,NO,0.205131
-0.106996,-0.068986,0.234687,NO,0.195484
-0.154018,-0.115481,0.324194,NO,0.151007
-0.084899,-0.061915,0.45106,NO,0.165562
-0.24825,-0.103972,0.255311,NO,0.20203
-0.106666,-0.139325,0.22197,NO,0.158515
-0.130293,-0.125941,0.308772,NO,0.110354
0.087123,0.116415,0.760777,NO,0.192706
-0.023737,0.034023,0.365399,NO,0.173346
-0.027127,0.054241,0.256837,NO,0.181787
0.024905,0.021277,0.19221,NO,0.154257
-0.044785,0.058883,0.326259,NO,0.172295
-0.198629,-0.051035,0.24391,NO,0.163825
-0.296706,-0.242527,0.215352,NO,0.161624
-0.364053,-0.266679,0.209299,NO,0.120755
-0.260896,-0.179591,0.321981,NO,0.18679
-0.123298,0.150633,0.264006,NO,0.175813
-0.131199,0.178477,0.240534,NO,0.17009
-0.06782,-0.082504,0.218085,NO,0.160165
-0.199572,-0.209911,0.275131,NO,0.149681
-0.124565,-0.09069,0.355928,NO,0.127753
-0.255175,-0.071667,0.40656,NO,0.151575
-0.02204,0.059546,0.635765,NO,0.117984
0.060625,0.28576,0.71023,NO,0.339542
0.006191,0.370362,0.604263,NO,0.27105
-0.334889,0.148707,0.521241,NO,0.143249
-0.260519,0.195886,0.480334,NO,0.24956
-0.367325,0.137342,0.505678,NO,0.099768
-0.768858,0.298482,0.466209,NO,0.137761
-0.891792,0.281249,0.419034,NO,0.136402
-0.739732,0.411318,0.532641,NO,0.171821
-0.73948,0.431018,0.518724,NO,0.265521
-0.470077,0.426599,0.437267,NO,0.180421
-0.829326,0.175041,0.556974,NO,0.188465
-0.659486,0.102731,0.538557,NO,0.372431
-0.409694,-0.07629,0.542159,NO,0.37557
-0.460544,-0.137998,0.454542,NO,0.105421
0.127342,-0.098732,2.288817,YES,0.682643
0.248763,-0.185096,0.376305,NO,0.246678
0.20146,-0.215253,0.346303,NO,0.285837
0.058385,-0.244085,0.310278,NO,0.404007
0.273973,0.264834,0.331393,NO,0.264595
0.058135,0.293323,0.339689,NO,0.234493
0.448684,-0.134226,0.448677,NO,0.401529
0.31585,-0.203683,0.504211,NO,0.333963
0.195374,-0.011,0.292719,NO,0.371051
0.177403,-0.183744,0.274516,NO,0.410314
0.119338,-0.19847,0.361041,NO,0.347207
0.318062,0.022555,0.284917,NO,0.26458
0.195234,0.315925,0.877219,NO,0.19503
0.28978,-0.041484,0.347533,NO,0.330942
0.108759,-0.051083,0.273151,NO,0.167791
0.231281,0.301351,0.574052,YES,0.326352
0.394508,0.736601,0.475236,NO,0.268694
0.115282,0.29455,0.383928,NO,0.17184
-0.139388,0.205695,0.357352,NO,0.188309
0.317755,0.508796,0.328699,NO,0.256599
0.339611,0.591628,0.363714,NO,0.15233
-0.03816,0.229213,0.335491,NO,0.254283
0.004587,0.194786,0.450041,YES,0.530868
0.256486,0.340507,0.376253,NO,0.128522
0.304288,0.539225,0.276125,NO,0.137663
0.320161,0.831332,0.447815,NO,0.221865
-0.141195,0.508755,0.304091,NO,0.277524
0.01843,0.013845,0.472588,YES,0.229253
0.079858,0.059696,0.518572,NO,0.344155
0.027531,0.076538,0.484395,NO,0.241013
0.102436,0.002778,0.311527,NO,0.331488
-0.015843,-0.109572,0.439268,NO,0.243694
-0.024561,-0.012352,0.303803,NO,0.216643
0.030525,0.048323,0.378886,NO,0.271854
0.022964,0.037573,0.521388,NO,0.270686
0.062614,0.015463,0.470322,NO,0.229916
0.100552,0.03075,0.335861,NO,0.324448
0.24814,0.007685,0.191472,NO,0.406998
0.252723,-0.115599,0.235328,NO,0.207324
-0.204428,0.000687,0.368135,NO,0.135895
-0.783524,-0.531372,0.487911,NO,0.173236
-0.538009,-0.183073,0.513909,NO,0.230925
0.041098,0.290999,0.391289,NO,0.249351
0.00991,0.141089,0.437183,NO,0.377344
-0.758873,-0.534006,0.389653,NO,0.174525
-0.43509,-0.059818,0.29004,NO,0.204902
-0.285482,0.090397,0.413788,NO,0.137306
-0.017416,0.290645,0.350104,NO,0.184262
-0.058908,-0.01233,0.366842,NO,0.176324
0.136142,0.164973,0.475529,NO,0.225744
0.168882,0.280915,0.357633,NO,0.100293
0.16932,0.02771,0.615477,NO,0.274338
0.126327,-0.164442,0.751411,NO,0.260631
0.176852,-0.191305,0.377612,NO,0.150673
0.081463,-0.289735,0.52402,NO,0.240681
-0.054279,-0.147597,0.513019,NO,0.162441
0.022565,-0.33536,0.485343,NO,0.205294
-0.013773,-0.178864,0.647996,NO,0.193931
0.036861,-0.165969,0.769214,NO,0.135524
0.229172,-0.155828,0.532622,NO,0.231202
0.136178,-0.22363,0.471417,NO,0.259579
0.010305,-0.135345,0.454584,NO,0.194564
0.026365,-0.244322,0.375287,NO,0.201879
0.011443,-0.020538,0.635418,NO,0.352977
0.139461,0.088761,0.620372,NO,0.308105
0.005022,0.076014,0.517907,NO,0.302291
-0.005376,0.058591,0.64971,NO,0.269363
0.214369,0.172267,0.57372,NO,0.332751
0.287214,0.0876,0.664008,NO,0.43165
0.192227,0.020496,0.605789,YES,0.376001
-0.050661,-0.092461,0.694569,NO,0.340964
-0.015699,0.028201,0.675449,NO,0.306525
0.008031,-0.076378,0.683237,NO,0.414963
0.153215,0.179468,0.685788,YES,0.259037
-0.0225,0.086433,0.489423,NO,0.308937
0.004824,0.083205,0.684785,NO,0.293524
0.255624,0.209847,0.630443,NO,0.314352
0.310495,0.178535,0.716974,NO,0.507226
0.062734,0.088993,0.803037,NO,0.155001
0.085437,0.17479,0.593691,NO,0.226414
0.066361,0.178921,0.552606,NO,0.203559
0.025454,0.145714,0.544833,NO,0.148347
-0.029789,-0.047869,0.729151,NO,0.205037
-0.016587,0.070607,0.784236,NO,0.180103
-0.093264,0.075864,0.727171,NO,0.205902
-0.040441,0.071025,0.660717,NO,0.227706
-0.019338,0.147654,0.631329,NO,0.194057
0.057025,0.121483,0.374112,NO,0.201115
-0.001169,0.071409,0.609364,NO,0.151612
0.024285,0.126287,0.602477,NO,0.205691
0.094823,0.154827,0.550786,NO,0.232087
0.020654,0.121819,0.501533,NO,0.191037
0.019829,0.043988,0.475764,NO,0.220411
-0.033956,0.126118,0.30628,NO,0.312003
0.078032,0.167453,0.322982,NO,0.24418
-0.011815,0.134719,0.409895,NO,0.249929
0.03269,0.210879,0.408742,NO,0.346347
