@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
NO,-0.034228,0.299323,0.171599,0.171949
NO,0.107263,0.338375,0.245862,0.141758
NO,-0.003178,0.343102,0.257648,0.158339
NO,0.078479,0.339854,0.252876,0.205131
NO,-0.068986,0.234687,0.212395,0.195484
NO,-0.115481,0.324194,0.174479,0.151007
NO,-0.061915,0.45106,0.313675,0.165562
NO,-0.103972,0.255311,0.141088,0.20203
NO,-0.139325,0.22197,0.214343,0.158515
NO,-0.125941,0.308772,0.204997,0.110354
YES,0.116415,0.760777,0.339103,0.192706
NO,0.034023,0.365399,0.234165,0.173346
NO,0.054241,0.256837,0.196869,0.181787
NO,0.021277,0.19221,0.176367,0.154257
NO,0.058883,0.326259,0.273102,0.172295
NO,-0.051035,0.24391,0.203545,0.163825
NO,-0.242527,0.215352,0.187346,0.161624
NO,-0.266679,0.209299,0.203874,0.120755
NO,-0.179591,0.321981,0.190703,0.18679
NO,0.150633,0.264006,0.288526,0.175813
NO,0.178477,0.240534,0.205089,0.17009
NO,-0.082504,0.218085,0.209682,0.160165
NO,-0.209911,0.275131,0.195657,0.149681
NO,-0.09069,0.355928,0.205713,0.127753
NO,-0.071667,0.40656,0.271404,0.151575
NO,0.059546,0.635765,0.552721,0.117984
NO,0.28576,0.71023,0.536479,0.339542
NO,0.370362,0.604263,0.466597,0.27105
NO,0.148707,0.521241,0.180116,0.143249
NO,0.195886,0.480334,0.164418,0.24956
NO,0.137342,0.505678,0.280516,0.099768
NO,0.298482,0.466209,0.170732,0.137761
NO,0.281249,0.419034,0.156787,0.136402
NO,0.411318,0.532641,0.19979,0.171821
NO,0.431018,0.518724,0.543298,0.265521
NO,0.426599,0.437267,0.30446,0.180421
NO,0.175041,0.556974,0.401428,0.188465
NO,0.102731,0.538557,0.552666,0.372431
NO,-0.07629,0.542159,0.352581,0.37557
NO,-0.137998,0.454542,0.287168,0.105421
YES,-0.098732,2.288817,0.670278,0.682643
YES,-0.185096,0.376305,0.279264,0.246678
YES,-0.215253,0.346303,0.211699,0.285837
NO,-0.244085,0.310278,0.285115,0.404007
YES,0.264834,0.331393,0.340873,0.264595
NO,0.293323,0.339689,0.289638,0.234493
YES,-0.134226,0.448677,0.301724,0.401529
YES,-0.203683,0.504211,0.283498,0.333963
YES,-0.011,0.292719,0.308271,0.371051
YES,-0.183744,0.274516,0.272314,0.410314
YES,-0.19847,0.361041,0.2791,0.347207
YES,0.022555,0.284917,0.246596,0.26458
YES,0.315925,0.877219,0.467824,0.19503
YES,-0.041484,0.347533,0.239364,0.330942
YES,-0.051083,0.273151,0.268445,0.167791
YES,0.301351,0.574052,1.128225,0.326352
YES,0.736601,0.475236,0.507596,0.268694
YES,0.29455,0.383928,0.298,0.17184
NO,0.205695,0.357352,0.250141,0.188309
YES,0.508796,0.328699,0.473195,0.256599
YES,0.591628,0.363714,0.366197,0.15233
NO,0.229213,0.335491,0.223869,0.254283
NO,0.194786,0.450041,1.07089,0.530868
YES,0.340507,0.376253,0.112415,0.128522
YES,0.539225,0.276125,0.319756,0.137663
YES,0.831332,0.447815,0.247243,0.221865
NO,0.508755,0.304091,0.251842,0.277524
NO,0.013845,0.472588,0.567288,0.229253
NO,0.059696,0.518572,0.385126,0.344155
NO,0.076538,0.484395,0.479835,0.241013
YES,0.002778,0.311527,0.351117,0.331488
NO,-0.109572,0.439268,0.348223,0.243694
NO,-0.012352,0.303803,0.507487,0.216643
